boot_id,success,message,objective,n_markets,delta_B,lambda_S,phi_K,k0,k1,gamma_S
78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.314719879521444,7324,0.9078972589505814,0.18257106574680207,5.627584048803131,1.6929176687897642,5.0,0.8870918585875632
79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.10704894105052,7324,0.8825192153373976,0.14452446375812322,0.5582617812532423,1.8496241770650848,5.0,0.013403952354387462
80,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.102815300027544,7324,0.9731955928526614,0.1981495240633908,2.153069349419197,1.1752418756837304,5.0,0.5930710952240705
81,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.975020875244226,7324,0.95529815634332,0.1562348194137728,1.4776328270356212,1.643681922356236,5.0,0.6919718664815319
82,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.845618706021014,7324,0.9562897404549507,0.21320587874199226,8.0,1.3935943808085898,5.0,0.9081954621469089
83,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.156875228431986,7324,0.9069879624650224,0.16126197645282106,5.1732998512940105,1.8544221475841358,5.0,0.9043813964657317
84,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.37547651427913,7324,0.8689075381524252,0.18107426074608132,5.726912583940912,1.6939854243682588,4.4804757473237755,0.9125177422682317
85,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.627581952358724,7324,0.9308787703908237,0.17202202403483613,4.249690978160202,1.6645404657053726,5.0,0.8687589137355958
86,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.60905436722051,7324,0.9473449901805601,0.17895191397003482,3.9786603961760205,1.7853257017394577,5.0,0.856478392985163
87,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.69787919520024,7324,0.897945967137792,0.28172104912585044,6.752754699833557,1.32946791860167,4.030541182603206,0.841014316150115
88,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.03925661761121,7324,0.9199024948905622,0.17526443397525868,2.0534995242566385,1.8184387291778623,5.0,0.7148188656683361
89,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42.380708160492006,7324,0.9495021013028965,0.1607104239284292,3.505591501731997,1.3491174952903493,4.996508469823096,0.8898351549549806
90,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.78968897303689,7324,0.88416325169836,0.17239800676762815,4.218438713256473,1.9883175246352818,5.0,0.8669301089830835
91,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.98744189972214,7324,0.950477595606523,0.1419241316089746,1.5459197840108199,1.2823292927694205,5.0,0.7117479150505569
92,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.10839933391651,7324,0.9561368566726581,0.2410728454669645,1.6917408164776666,1.2408690558609208,5.0,0.4527571013610146
93,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.5573694692841,7324,0.9038199150725535,0.18669916267268463,3.6816566214930866,1.6439139110980385,4.822964452553844,0.8325525699640609
94,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.593214732735206,7324,0.9360494977122458,0.16989205189077486,0.6862151610182682,1.4953462334126382,5.0,0.024039812538422318
95,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.18734205195565,7324,0.9336170029343545,0.1938966628604623,0.7493133486998517,1.1206274325943437,5.0,0.002747986544118375
96,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.48900186203571,7324,0.9055936629141765,0.11969790102997022,2.980945356333433,2.194881757941993,5.0,0.864241293117791
97,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49.636596388420855,7324,0.9203697089147007,0.19751994274173812,1.00470276453842,1.5788416083711974,5.0,0.3196244823311159
98,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.82782101032658,7324,0.9273908302633543,0.1879266753363655,1.2756475296633274,1.5988523262535963,5.0,0.5034597581719025
99,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28.73213884571287,7324,0.9062696531654012,0.179422004868972,1.3299625233302812,1.8861120571463363,5.0,0.3824616444903424
100,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.9385123715023,7324,0.9273939962532259,0.15671217816083038,2.7524693038879713,1.7369733965434895,5.0,0.8104092202996453
