scenario,alpha_bin,n,mean_share_gap_base,mean_share_gap_cf,mean_share_B_base,mean_share_B_cf,mean_switch_base,mean_switch_cf,delta_share_gap,delta_share_B,delta_switch
zero_price_dependent_switching,"[2.5, 5.0)",1178,0.6512536121084604,0.5227056905452039,0.8256268060542302,0.7613528452726019,0.2115802247079596,0.2663592155289202,-0.12854792156325656,-0.06427396078162828,0.05477899082096063
zero_price_dependent_switching,"[5.0, 7.5)",4933,0.5419032708314261,0.5124197436063945,0.770951635415713,0.7562098718031973,0.284035495913358,0.30292635493174025,-0.02948352722503156,-0.014741763612515668,0.018890859018382222
zero_price_dependent_switching,"[7.5, 10.0)",692,0.5367449797814249,0.5283625981449129,0.7683724898907125,0.7641812990724565,0.2839310647241609,0.28272198956771794,-0.008382381636511949,-0.00419119081825603,-0.0012090751564429736
zero_price_dependent_switching,"[10.0, 15.0)",343,0.5248429554410088,0.5133199362748324,0.7624214777205044,0.7566599681374162,0.3458287459553423,0.337401502610108,-0.011523019166176374,-0.005761509583088187,-0.008427243345234314
targeted_full_enforcement_high_royalty,"[0.0, 1.0)",126,0.6690499831457953,0.6690499831457953,0.8345249915728977,0.8345249915728977,0.17222847432725896,0.17222847432725896,0.0,0.0,0.0
targeted_full_enforcement_high_royalty,"[1.0, 2.5)",52,0.442509766289696,0.442509766289696,0.721254883144848,0.721254883144848,0.354737881171048,0.354737881171048,0.0,0.0,0.0
targeted_full_enforcement_high_royalty,"[2.5, 5.0)",1178,0.6512536121084604,0.6512536121084604,0.8256268060542302,0.8256268060542302,0.2115802247079596,0.2115802247079596,0.0,0.0,0.0
targeted_full_enforcement_high_royalty,"[5.0, 7.5)",4933,0.5419032708314261,0.5419032708314261,0.770951635415713,0.770951635415713,0.284035495913358,0.284035495913358,0.0,0.0,0.0
targeted_full_enforcement_high_royalty,"[7.5, 10.0)",692,0.5367449797814249,0.5339041876070914,0.7683724898907125,0.7669520938035457,0.2839310647241609,0.2834675775545438,-0.0028407921743335285,-0.0014203960871668198,-0.0004634871696170828
targeted_full_enforcement_high_royalty,"[10.0, 15.0)",343,0.5248429554410088,0.5065272567468102,0.7624214777205044,0.7532636283734052,0.3458287459553423,0.3423849665134763,-0.01831569869419858,-0.009157849347099178,-0.003443779441866024
